id,genre,audio_path,lyric_path,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,tfidf_ai,tfidf_away,tfidf_ce,tfidf_che,tfidf_come,tfidf_dans,tfidf_des,tfidf_di,tfidf_don,tfidf_du,tfidf_el,tfidf_en,tfidf_es,tfidf_est,tfidf_et,tfidf_feel,tfidf_got,tfidf_il,tfidf_je,tfidf_just,tfidf_know,tfidf_la,tfidf_le,tfidf_les,tfidf_let,tfidf_life,tfidf_like,tfidf_ll,tfidf_love,tfidf_ma,tfidf_make,tfidf_mi,tfidf_ne,tfidf_non,tfidf_oh,tfidf_pas,tfidf_pour,tfidf_qu,tfidf_que,tfidf_qui,tfidf_se,tfidf_si,tfidf_te,tfidf_time,tfidf_tu,tfidf_une,tfidf_ve,tfidf_want,tfidf_yeah,tfidf_ça,cluster,pca_kmeans_cluster
1001890,ambient,data/audio/1001890.mp3,data/lyrics/1001890.txt,-172.53186,144.02585,-35.479717,14.106104,19.311249,-3.6826286,-8.178381,-8.488638,-5.7701764,-9.178972,-3.5521917,-8.340675,-5.763819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
1001891,ambient,data/audio/1001891.mp3,data/lyrics/1001891.txt,-218.08649,135.8952,13.833035,26.087866,10.417722,16.85164,0.5140095,5.958437,-4.7329836,0.36363214,-6.1602325,-0.8307724,-6.3854194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3929521994790186,0.0,0.0,0.0,0.0,0.0,0.0,0.7957009613317085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4609214131068291,0.0,0.0,0.0,4,3
1002753,pop,data/audio/1002753.mp3,data/lyrics/1002753.txt,-156.04802,98.00602,3.610792,51.717052,-10.13357,-1.3897071,-8.393614,-8.649558,-12.110154,-3.6600142,-10.35422,-10.654987,-17.185062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1956661790966457,0.8599824015994361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3759654751407146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1879988043648265,0.0,0.0,0.0,0.0,0.0,0.0,0.1422277663682385,0.0,0.0,0.0,0.0,0.0,0.1588165256845133,0.0,0.0,0.0,0.0,0.0,0,1
1003648,alternative,data/audio/1003648.mp3,data/lyrics/1003648.txt,-337.1478,149.42995,-16.81224,-9.276005,-12.29424,-24.927448,-18.945805,-21.196707,-14.871328,-12.177295,-9.423781,-4.8982744,-10.433724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976373082493213,0.0,0.0,0.1067974990488155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1878560565422889,0.0,0.0,0.0,0.0,0.0,3,2
1003654,alternative,data/audio/1003654.mp3,data/lyrics/1003654.txt,-374.50943,148.66824,45.411797,10.471763,16.143208,7.3150373,-0.023599913,7.1616664,5.0949326,-5.1901517,-5.411754,-2.7849252,-6.797534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7126304783231645,0.0,0.0,0.7015395935832117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
1003655,alternative,data/audio/1003655.mp3,data/lyrics/1003655.txt,-397.84723,88.89747,-0.8934177,96.45834,-37.548397,9.584243,18.327936,-15.675508,-15.60049,16.407913,-7.2792273,-15.515966,-0.012297545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2461393539967394,0.0,0.0,0.9692344496632732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
1003656,alternative,data/audio/1003656.mp3,data/lyrics/1003656.txt,-232.92737,159.96954,-55.104355,2.9281585,-25.357489,-13.3287115,-6.784937,-4.0576043,-5.7636127,-3.9519057,-4.4909515,-4.0776343,-4.906937,0.0,0.0,0.0,0.0,0.1651547468148684,0.0,0.0,0.0,0.139896523870869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1478990259810253,0.0,0.0,0.0,0.0,0.0,0.0,0.8984558221774922,0.1632834405326031,0.0,0.0,0.1822237304892749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734812227611356,0.1846433897173246,0.0,0.0,4,2
1003657,alternative,data/audio/1003657.mp3,data/lyrics/1003657.txt,-269.75134,82.99157,56.745358,62.71933,-24.194548,-6.258701,24.382538,-19.418161,-12.623901,24.049314,-15.693063,-10.364193,-9.091866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966519052339676,0.0,0.0,0.0817617257248317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
1003662,alternative,data/audio/1003662.mp3,data/lyrics/1003662.txt,-290.94083,201.1163,-3.7881918,-15.4784775,30.617352,3.9107144,-12.259701,7.206583,4.7444806,-4.329937,0.7335648,-3.911337,-12.88191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
1003664,alternative,data/audio/1003664.mp3,data/lyrics/1003664.txt,-202.2269,73.55182,12.88754,36.36122,3.0233119,17.90272,-0.6254533,0.61606985,-0.6037215,0.33625552,-2.9386556,4.0329432,-3.356595,0.0,0.0,0.0,0.0,0.0,0.0,0.1937659606289346,0.0,0.0,0.0,0.0,0.0,0.9810477829858985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
1003665,alternative,data/audio/1003665.mp3,data/lyrics/1003665.txt,-321.87762,121.75532,-11.421869,-6.733422,-12.433319,-19.387291,-17.294538,-29.236778,-28.803402,-25.851986,-21.392656,-14.344719,-12.903985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9501516754911672,0.0,0.0,0.3117880587215096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
1003957,alternative,data/audio/1003957.mp3,data/lyrics/1003957.txt,-233.69977,35.883865,62.03182,47.39022,-27.592619,28.97632,13.793874,-13.473416,-5.8476863,16.434498,-13.039345,1.2554651,-23.576488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972024383635091,0.0,0.0,0.4416195020541706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
